user_id_1,user_id_2,jaccard_similarity,minHashDistance
85653,95175,1,0
305904,314085,1,0
51160,62784,1,0
57540,282312,1,0
77600,132822,1,0
64872,293880,1,0
82321,236540,1,0
158283,329248,1,0
82321,277862,1,0
19061,241234,1,0
97685,134981,1,0
22437,23527,1,0
234310,325068,1,0
3799,97685,1,0
12125,47942,1,0
50132,87155,1,0
183207,222150,1,0
122621,235844,1,0
77318,227884,1,0
83065,183123,1,0
93572,177183,1,0
3799,162798,1,0
14186,253377,1,0
51160,313610,1,0
93572,119474,1,0
22437,313463,1,0
3799,227884,1,0
238288,265718,1,0
59869,63309,1,0
147789,279965,1,0
77600,163485,1,0
123530,161017,1,0
14186,249611,1,0
156709,235844,1,0
263035,304933,1,0
47942,134981,1,0
14186,87155,1,0
120522,309198,1,0
248461,266708,1,0
18356,265259,1,0
77318,170112,1,0
49647,168141,1,0
14186,22437,1,0
183123,249077,1,0
87155,93572,1,0
71302,279965,1,0
169845,277862,1,0
88603,283959,1,0
85653,291625,1,0
14186,50132,1,0
12125,88344,1,0
264494,266605,1,0
175379,248242,1,0
163485,243711,1,0
92534,313668,1,0
74957,91881,1,0
12125,77318,1,0
230806,277862,1,0
169860,277862,1,0
134981,248242,1,0
77318,88344,1,0
47942,65538,1,0
12125,170112,1,0
56180,264494,1,0
82321,141201,1,0
119474,253377,1,0
313668,325068,1,0
82915,99030,1,0
87155,253377,1,0
47942,97685,1,0
33604,234131,1,0
7038,169493,1,0
107031,198462,1,0
38643,172316,1,0
23527,313463,1,0
65538,162798,1,0
101017,305828,1,0
88344,162798,1,0
88344,134981,1,0
162798,170112,1,0
113414,311227,1,0
40479,107031,1,0
2626,227267,1,0
49138,81265,1,0
115422,279965,1,0
86856,273017,1,0
184938,246671,1,0
187276,319748,1,0
184938,324016,1,0
49651,85653,1,0
50132,253377,1,0
7038,325068,1,0
7038,313668,1,0
70108,96548,1,0
87155,177183,1,0
50132,93572,1,0
82321,230806,1,0
92534,325068,1,0
169845,308490,1,0
50132,177183,1,0
